Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_Other,VisitorType_Returning_Visitor,Cluster
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.3171778443096162,-0.3088213656157659,1,1,1,1,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.66851798144781,-0.5909025573961064,-0.4576829964936493,1.171472500128347,-0.3171778443096162,-0.3088213656157659,2,2,1,2,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.3171778443096162,-0.3088213656157659,4,1,9,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.66851798144781,-0.6229539787319183,0.5735349511628588,1.9946097379805603,-0.3171778443096162,-0.3088213656157659,3,2,2,4,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.4886363873737598,-0.2964301238717338,-0.0451958174310461,0.1425509528130801,-0.3171778443096162,-0.3088213656157659,3,3,1,4,1,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.2862695940404534,-0.5437573552885533,-0.1320352170365334,-0.3809354383438791,-0.3171778443096162,-0.3088213656157659,2,2,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.3171778443096162,1.7021463861890365,2,4,3,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.395937711280916,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.7134883799663226,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.3171778443096162,-0.3088213656157659,1,2,1,5,1,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.66851798144781,-0.6050121504842307,-0.4576829964936493,1.171472500128347,-0.3171778443096162,3.713114137993839,2,2,2,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6460327821885538,-0.2386853077147805,-0.4576829964936493,-0.4290721336017195,-0.3171778443096162,1.7021463861890365,2,4,1,2,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6460327821885538,-0.4179293976861377,-0.4576829964936493,0.485524808777646,-0.3171778443096162,-0.3088213656157659,1,1,3,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.3537251918182222,-0.4112665342834123,-0.0709762661224588,-0.3547611352487759,-0.3171778443096162,1.7021463861890365,1,1,4,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.5560919851515287,-0.4777645239302205,-0.4576829964936493,-0.298415415788421,-0.3171778443096162,-0.3088213656157659,1,1,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.578577184410785,-0.5731349216555054,-0.4576829964936493,0.485524808777646,-0.3171778443096162,-0.3088213656157659,2,5,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.66851798144781,-0.5888122473089769,-0.4576829964936493,1.171472500128347,-0.3171778443096162,-0.3088213656157659,3,2,3,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.0948824584384336,-0.1573700596887564,-0.3964779010172135,-0.2449305061296366,-0.1963287970034282,0.2474607843232683,-0.2858133454256843,-0.5506821410239723,-0.3171778443096162,-0.3088213656157659,1,1,9,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.3171778443096162,-0.3088213656157659,1,1,4,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.421180789595991,-0.4493014682263875,-0.4576829964936493,-0.7280749655064747,-0.3171778443096162,-0.3088213656157659,1,1,1,4,1,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.66851798144781,-0.6076250380931426,-0.4576829964936493,1.171472500128347,-0.3171778443096162,-0.3088213656157659,2,2,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.2637843947811971,0.9335431700709266,-0.4576829964936493,-0.6805862850391334,-0.3171778443096162,-0.3088213656157659,2,4,4,4,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.5336067858922724,-0.5531898795567253,-0.4576829964936493,-0.7148836768091194,-0.3171778443096162,4.71859801389624,2,2,5,1,1,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.66851798144781,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.3171778443096162,-0.3088213656157659,3,3,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6460327821885538,-0.5694768790030287,-0.4576829964936493,-0.2004229031514858,-0.3171778443096162,-0.3088213656157659,3,2,1,5,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.66851798144781,-0.6165088559634432,-0.4576829964936493,1.171472500128347,-0.3171778443096162,3.713114137993839,2,4,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6910031807070663,-0.6243475187901789,3.667188794132383,3.229315594758881,-0.3171778443096162,-0.3088213656157659,2,2,4,1,1,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6010623836700413,-0.5428254253921272,-0.4576829964936493,-0.0632333566499732,-0.3171778443096162,-0.3088213656157659,1,1,9,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
0.5072280472465313,-0.0917487846862432,-0.3964779010172135,-0.2449305061296366,0.0060379963298781,-0.0309897751230835,-0.3987562536812262,-0.6903855280714546,-0.3171778443096162,-0.3088213656157659,2,2,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6235475829292975,-0.5846316271347178,0.5735349511628588,1.171472500128347,-0.3171778443096162,-0.3088213656157659,1,1,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.6969929641233985,-0.4571914023726529,-0.3964779010172135,-0.2449305061296366,-0.6235475829292975,-0.5914251349178887,-0.4576829964936493,0.1425509528130801,-0.3171778443096162,0.6966625102866353,2,6,1,3,0,0,False,True,False,False,False,False,False,False,False,False,True,0
-0.395937711280916,-0.4232493635782495,0.3908586297513874,-0.2449305061296366,0.2983455867002097,0.2027620538108872,0.4390282650282305,0.159451112698319,2.600782488527669,1.7021463861890365,3,2,1,1,0,0,False,True,False,False,False,False,False,False,False,False,True,0
